Element,Year,Unit,Value
Food supply,1961,Pkal,1999.0401570054
Food supply,1962,Pkal,2084.27370089805
Food supply,1963,Pkal,2125.1713820200002
Food supply,1964,Pkal,2203.0619776948997
Food supply,1965,Pkal,2268.6590426323496
Food supply,1966,Pkal,2328.540864745
Food supply,1967,Pkal,2375.78243522895
Food supply,1968,Pkal,2418.7943764054
Food supply,1969,Pkal,2487.7390720104004
Food supply,1970,Pkal,2593.79828454635
Food supply,1971,Pkal,2611.4734358263495
Food supply,1972,Pkal,2643.3450118368
Food supply,1973,Pkal,2750.7789843204
Food supply,1974,Pkal,2788.1037961655998
Food supply,1975,Pkal,2861.07924063
Food supply,1976,Pkal,2896.8639157689
Food supply,1977,Pkal,2990.91133845035
Food supply,1978,Pkal,3125.1542340290002
Food supply,1979,Pkal,3166.9750702054002
Food supply,1980,Pkal,3233.6653414197
Food supply,1981,Pkal,3313.48150617605
Food supply,1982,Pkal,3423.4987297728003
Food supply,1983,Pkal,3550.2868110942
Food supply,1984,Pkal,3619.2572030277
Food supply,1985,Pkal,3674.457380895
Food supply,1986,Pkal,3752.5928790285
Food supply,1987,Pkal,3847.2708216060005
Food supply,1988,Pkal,3941.7117131632504
Food supply,1989,Pkal,4032.6344301279996
Food supply,1990,Pkal,4072.4448112935997
Food supply,1991,Pkal,4109.89981270755
Food supply,1992,Pkal,4191.6098576505
Food supply,1993,Pkal,4259.67310175055
Food supply,1994,Pkal,4351.9361837238
Food supply,1995,Pkal,4441.9067293678
Food supply,1996,Pkal,4533.6484641896495
Food supply,1997,Pkal,4614.49461917925
Food supply,1998,Pkal,4690.7677639537
Food supply,1999,Pkal,4760.5276949427
Food supply,2000,Pkal,4839.28333031
Food supply,2001,Pkal,4889.572959135
Food supply,2002,Pkal,4941.96380244
Food supply,2003,Pkal,4998.9378219
Food supply,2004,Pkal,5072.30361103
Food supply,2005,Pkal,5148.73355472
Food supply,2006,Pkal,5230.753718325
Food supply,2007,Pkal,5320.781626784999
Food supply,2008,Pkal,5419.192545360001
Food supply,2009,Pkal,5477.397747049999
Food supply,2010,Pkal,5707.49454187
Food supply,2011,Pkal,5804.28947989
Food supply,2012,Pkal,5921.32364272
Food supply,2013,Pkal,6007.3112328199995
Food supply,2014,Pkal,6114.7852460799995
Food supply,2015,Pkal,6193.51094253
Food supply,2016,Pkal,6291.91439626
Food supply,2017,Pkal,6410.9304359
Food supply,2018,Pkal,6483.92027797
Food supply,2019,Pkal,6568.574513889999
Food supply,2020,Pkal,6691.65015859
Production (carbon),1961,GtC,1.1082717
Production (carbon),1962,GtC,1.1286558
Production (carbon),1963,GtC,1.1517129
Production (carbon),1964,GtC,1.23256935
Production (carbon),1965,GtC,1.2565143
Production (carbon),1966,GtC,1.3155767999999999
Production (carbon),1967,GtC,1.3556475
Production (carbon),1968,GtC,1.38741435
Production (carbon),1969,GtC,1.38848445
Production (carbon),1970,GtC,1.4580369
Production (carbon),1971,GtC,1.49261535
Production (carbon),1972,GtC,1.4646329999999999
Production (carbon),1973,GtC,1.5803950500000001
Production (carbon),1974,GtC,1.56729735
Production (carbon),1975,GtC,1.59985575
Production (carbon),1976,GtC,1.6837182
Production (carbon),1977,GtC,1.7215155
Production (carbon),1978,GtC,1.8201231
Production (carbon),1979,GtC,1.8025425
Production (carbon),1980,GtC,1.7641547999999998
Production (carbon),1981,GtC,1.8622619999999999
Production (carbon),1982,GtC,1.9675845
Production (carbon),1983,GtC,1.9218937500000002
Production (carbon),1984,GtC,2.0516247
Production (carbon),1985,GtC,2.0695905
Production (carbon),1986,GtC,2.0958174
